account_id,frequency,disp_id,card_type,card_issued,order_insurance_pay,order_household_pay,order_loan_pay,order_lease_pay,district_id,district_name,region,nInhabitants,demo_avg_salary,demo_unemploy_rate95,demo_unemploy_rate96,nEnterpreneurs,nCrimes95,nCrimes96,nYearMonth,nCredit,nWithdraw,nCCWithdraw,nCreditCash,nCol_from_bank,nWithdrawCash,nRemitt,nInsurrance,nStatement,nIntCredit,nSancInt,nHousehold,nPension,nLoanPay,avgMonthly_balance,avgMonthly_amount,avgMonthly_withdrawal_card,avgMonthly_credit_cash,avgMonthly_collection_bank,avgMonthly_withdrawal_cash,avgMonthly_remittance,avgMonthly_insurance,avgMonthly_statement,avgMonthly_credited,avgMonthly_sanc_interest,avgMonthly_household,avgMonthly_pension,avgMonthly_loan,loan_id,loan_issued,loan_amount,loan_duration,loan_payments,loan_status
2,"POPLATEK MESICNE",2,NULL,NULL,0.0,0.0,3372.7,0.0,1,"Hl.m. Praha",Prague,1204953,12541,0.2,0.43,167,85677,99107,71,152,305,152,152,152,152,152,0,0,0,0,0,0,0,246006.9437,6725.0704,0.0000,681.6901,21661.0704,14101.6479,7792.1408,0.0000,13.7324,150.9718,0.0000,6651.9718,0.0000,1140.1690,4959,1994-01-05,80952,24,3373.00,A
19,"POPLATEK MESICNE",25,NULL,NULL,0.0,0.0,2523.2,0.0,21,Tabor,"south Bohemia",103347,9104,1.5,2.07,123,2299,2354,45,152,148,152,152,152,152,152,0,0,0,0,0,0,0,109437.3333,1672.1778,0.0000,1017.7778,16484.6000,16936.7111,448.5333,0.0000,13.3333,124.2000,1.2889,10688.8889,0.0000,448.5333,4961,1996-04-29,30276,12,2523.00,B
25,"POPLATEK MESICNE",31,NULL,NULL,0.0,0.0,2523.2,0.0,68,"Frydek - Mistek","north Moravia",228848,9893,4.0,4.72,96,5623,5887,30,82,184,82,82,82,82,82,0,0,0,0,0,0,0,514017.0333,6723.6667,0.0000,49605.7333,0.0000,40514.9333,8291.1000,147.6000,13.0000,206.7667,0.0000,6135.3000,0.0000,1009.2000,4962,1997-12-08,30276,12,2523.00,A
37,"POPLATEK MESICNE",45,NULL,NULL,0.0,0.0,5307.5,0.0,20,Strakonice,"south Bohemia",70646,8547,2.6,3.64,120,1563,1542,17,36,92,36,36,36,36,36,0,0,0,0,0,0,0,287127.8235,7600.5294,0.0000,29087.8824,0.0000,22108.8235,4428.2353,79.8824,11.4706,149.1176,0.0000,1908.1176,0.0000,312.2353,4967,1998-10-14,318480,60,5308.00,D
38,"POPLATEK TYDNE",46,NULL,NULL,0.0,0.0,2306.8,0.0,19,Prachatice,"south Bohemia",51428,8402,3.1,3.98,120,999,1099,17,48,77,48,48,48,48,48,0,0,0,0,0,0,0,263535.8824,7071.6471,0.0000,2923.5294,15062.3529,9216.4118,6294.5294,160.9412,21.1765,147.4118,0.0000,4871.2941,0.0000,1085.6471,4968,1998-04-19,110736,48,2307.00,C
67,"POPLATEK MESICNE",78,NULL,NULL,0.0,0.0,6915.0,0.0,16,"Jindrichuv Hradec","south Bohemia",93931,8427,1.1,1.54,107,1874,1913,51,102,260,102,102,102,102,102,0,0,0,0,0,0,0,426142.7647,10455.2353,0.0000,133.3333,44337.3529,34485.0392,9421.7255,0.0000,13.2353,214.3725,0.0000,5766.2353,0.0000,3254.1176,4973,1996-05-02,165960,24,6915.00,A
97,"POPLATEK MESICNE",116,classic,1998-06-23,0.0,1436.0,0.0,0.0,74,"Ostrava - mesto","north Moravia",323870,10673,4.7,5.44,100,18782,18347,32,67,207,67,67,67,67,67,0,0,0,0,0,0,0,340912.7500,1643.0000,412.5000,19858.7500,0.0000,11422.0313,6551.3125,2.5313,12.6563,170.0938,0.0000,1211.6250,0.0000,3214.8750,4986,1997-08-10,102876,12,8573.00,A
103,"POPLATEK MESICNE",124,NULL,NULL,0.0,0.0,7370.2,0.0,44,Chrudim,"east Bohemia",105606,8254,2.7,3.76,97,2166,2325,33,84,84,84,84,84,84,84,0,0,0,0,0,0,0,270710.2121,15160.5455,0.0000,26298.3636,0.0000,22948.4848,2456.6667,0.0000,9.0909,258.8485,1.8182,0.0000,0.0000,2456.6667,4988,1997-12-06,265320,36,7370.00,D
105,"POPLATEK MESICNE",127,classic,1998-06-07,0.0,0.0,7348.0,0.0,21,Tabor,"south Bohemia",103347,9104,1.5,2.07,123,2299,2354,18,30,28,30,30,30,30,30,0,0,0,0,0,0,0,98990.9444,1403.1111,0.0000,14046.2778,0.0000,12829.1111,408.2222,0.0000,5.8333,147.6111,0.0000,0.0000,0.0000,408.2222,4989,1998-12-05,352704,48,7348.00,C
110,"POPLATEK MESICNE",132,classic,1998-02-26,0.0,3050.0,0.0,0.0,36,Liberec,"north Bohemia",159617,9198,3.3,4.28,131,5796,6132,30,61,148,61,61,61,61,61,0,0,0,0,0,0,0,316045.1000,2462.3333,493.3333,24863.2333,0.0000,17172.0000,4926.9333,0.0000,12.0000,191.3667,0.0000,2440.0000,0.0000,2408.5333,4990,1997-09-08,162576,36,4516.00,C
